============================================================
  Generated by:           Genus(TM) Synthesis Solution 19.12-s121_1
  Generated on:           Jun 07 2026  12:44:32 pm
  Module:                 top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256
  Technology libraries:   typical 
                          physical_cells 
  Operating conditions:   typical 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                       Instance                                             Module                        Cell Count   Cell Area    Net Area     Total Area 
------------------------------------------------------------------------------------------------------------------------------------------------------------
top_NUM_HEADS8_TILE_DIM8_D_HEAD8_D_MODEL512_FIFO_D256                                                        3432394 12258610.850 3479269.455  15737880.305 
        pe_row_g[3].pe_col_g[7].u_add                 fp32_add_pip_31                                           1713     6149.912    1731.647      7881.559 
        pe_row_g[4].pe_col_g[3].u_add                 fp32_add_pip_35                                           1760     6098.997    1771.542      7870.540 
        pe_row_g[0].pe_col_g[5].u_add                 fp32_add_pip_5                                            1722     6123.108    1737.301      7860.409 
        pe_row_g[7].pe_col_g[2].u_add                 fp32_add_pip_58                                           1708     6115.593    1727.107      7842.699 
        pe_row_g[0].pe_col_g[1].u_add                 fp32_add_pip_1                                            1668     6130.658    1699.750      7830.408 
        pe_row_g[0].pe_col_g[2].u_add                 fp32_add_pip_2                                            1704     6101.878    1723.315      7825.193 
        pe_row_g[2].pe_col_g[3].u_add                 fp32_add_pip_19                                           1743     6062.001    1759.336      7821.337 
        pe_row_g[5].pe_col_g[1].u_add                 fp32_add_pip_41                                           1731     6042.430    1754.962      7797.393 
        pe_row_g[5].pe_col_g[2].u_add                 fp32_add_pip_42                                           1728     6030.366    1735.971      7766.337 
        pe_row_g[7].pe_col_g[0].u_add                 fp32_add_pip_56                                           1726     6044.559    1721.702      7766.261 
        pe_row_g[5].pe_col_g[7].u_add                 fp32_add_pip_47                                           1693     6009.538    1718.609      7728.147 
        pe_row_g[7].pe_col_g[5].u_add                 fp32_add_pip_61                                           1684     6011.385    1710.244      7721.629 
        pe_row_g[5].pe_col_g[4].u_add                 fp32_add_pip_44                                           1693     5977.279    1707.849      7685.128 
        pe_row_g[2].pe_col_g[7].u_add                 fp32_add_pip_23                                           1751     5892.908    1747.728      7640.636 
        pe_row_g[7].pe_col_g[1].u_add                 fp32_add_pip_57                                           1629     5964.600    1666.440      7631.040 
        pe_row_g[6].pe_col_g[2].u_add                 fp32_add_pip_50                                           1694     5907.665    1705.970      7613.635 
        pe_row_g[0].pe_col_g[7].u_add                 fp32_add_pip_7                                            1670     5915.899    1682.688      7598.586 
        pe_row_g[6].pe_col_g[5].u_add                 fp32_add_pip_53                                           1672     5916.087    1676.900      7592.987 
        pe_row_g[4].pe_col_g[7].u_add                 fp32_add_pip_39                                           1688     5898.260    1690.088      7588.348 
        pe_row_g[4].pe_col_g[0].u_add                 fp32_add_pip_32                                           1638     5909.623    1676.667      7586.291 
        pe_row_g[1].pe_col_g[2].u_add                 fp32_add_pip_10                                           1635     5903.142    1672.593      7575.735 
        pe_row_g[6].pe_col_g[3].u_add                 fp32_add_pip_51                                           1631     5850.594    1652.836      7503.430 
        pe_row_g[4].pe_col_g[2].u_add                 fp32_add_pip_34                                           1649     5813.709    1668.585      7482.295 
        pe_row_g[4].pe_col_g[6].u_add                 fp32_add_pip_38                                           1646     5796.148    1672.277      7468.425 
        pe_row_g[4].pe_col_g[5].u_add                 fp32_add_pip_37                                           1597     5849.388    1611.178      7460.566 
        pe_row_g[5].pe_col_g[6].u_add                 fp32_add_pip_46                                           1620     5811.367    1632.115      7443.482 
        pe_row_g[1].pe_col_g[1].u_add                 fp32_add_pip_9                                            1615     5795.575    1646.301      7441.876 
        pe_row_g[1].pe_col_g[0].u_add                 fp32_add_pip_8                                            1617     5813.410    1623.933      7437.343 
        pe_row_g[7].pe_col_g[6].u_add                 fp32_add_pip_62                                           1618     5772.131    1622.570      7394.700 
        pe_row_g[5].pe_col_g[3].u_add                 fp32_add_pip_43                                           1614     5747.908    1634.244      7382.152 
        pe_row_g[4].pe_col_g[4].u_add                 fp32_add_pip_36                                           1601     5753.286    1609.947      7363.234 
        pe_row_g[6].pe_col_g[1].u_add                 fp32_add_pip_49                                           1572     5767.984    1594.997      7362.981 
        pe_row_g[0].pe_col_g[0].u_add                 fp32_add_pip_703                                          1589     5728.534    1610.413      7338.947 
        pe_row_g[0].pe_col_g[6].u_add                 fp32_add_pip_6                                            1589     5712.110    1603.445      7315.555 
        pe_row_g[6].pe_col_g[6].u_add                 fp32_add_pip_54                                           1577     5678.431    1594.082      7272.513 
        pe_row_g[4].pe_col_g[1].u_add                 fp32_add_pip_33                                           1585     5631.919    1600.202      7232.121 
        pe_row_g[7].pe_col_g[3].u_add                 fp32_add_pip_59                                           1598     5602.003    1606.156      7208.158 
        pe_row_g[5].pe_col_g[5].u_add                 fp32_add_pip_45                                           1552     5626.387    1573.793      7200.181 
        pe_row_g[7].pe_col_g[4].u_add                 fp32_add_pip_60                                           1554     5616.144    1573.477      7189.622 
      sa_k                                            systolic_array_M8_N8_K8_1                               124650   447650.691  127454.981    575105.672 
        pe_row_g[2].pe_col_g[6].u_add                 fp32_add_pip_86                                           1802     6308.412    1794.708      8103.120 
        pe_row_g[1].pe_col_g[1].u_add                 fp32_add_pip_73                                           1739     6223.990    1732.761      7956.751 
        pe_row_g[7].pe_col_g[7].u_add                 fp32_add_pip_127                                          1773     6143.893    1760.683      7904.576 
        pe_row_g[2].pe_col_g[2].u_add                 fp32_add_pip_82                                           1713     6110.497    1733.177      7843.674 
        pe_row_g[0].pe_col_g[3].u_add                 fp32_add_pip_67                                           1678     6136.138    1677.715      7813.853 
        pe_row_g[7].pe_col_g[4].u_add                 fp32_add_pip_124                                          1700     6107.778    1695.376      7803.154 
        pe_row_g[4].pe_col_g[2].u_add                 fp32_add_pip_98                                           1701     6048.595    1700.099      7748.694 
        pe_row_g[0].pe_col_g[2].u_add                 fp32_add_pip_66                                           1658     6074.176    1664.478      7738.654 
        pe_row_g[6].pe_col_g[1].u_add                 fp32_add_pip_113                                          1662     6065.635    1667.887      7733.522 
        pe_row_g[7].pe_col_g[2].u_add                 fp32_add_pip_122                                          1711     6020.756    1707.866      7728.622 
        pe_row_g[4].pe_col_g[1].u_add                 fp32_add_pip_97                                           1725     6000.364    1708.714      7709.078 
        pe_row_g[4].pe_col_g[7].u_add                 fp32_add_pip_103                                          1705     5982.863    1709.379      7692.241 
        pe_row_g[0].pe_col_g[0].u_add                 fp32_add_pip_64                                           1679     6006.905    1680.160      7687.065 
        pe_row_g[3].pe_col_g[5].u_add                 fp32_add_pip_93                                           1660     6005.828    1665.276      7671.104 
        pe_row_g[0].pe_col_g[7].u_add                 fp32_add_pip_71                                           1649     5983.093    1676.002      7659.096 
        pe_row_g[3].pe_col_g[4].u_add                 fp32_add_pip_92                                           1679     5967.789    1682.688      7650.476 
        pe_row_g[2].pe_col_g[4].u_add                 fp32_add_pip_84                                           1654     5991.224    1653.485      7644.709 
        pe_row_g[2].pe_col_g[3].u_add                 fp32_add_pip_83                                           1686     5941.429    1689.755      7631.185 
        pe_row_g[0].pe_col_g[1].u_add                 fp32_add_pip_65                                           1626     5964.386    1652.537      7616.923 
        pe_row_g[0].pe_col_g[5].u_add                 fp32_add_pip_69                                           1620     5962.214    1638.202      7600.416 
        pe_row_g[3].pe_col_g[0].u_add                 fp32_add_pip_88                                           1661     5916.839    1680.842      7597.681 
        pe_row_g[1].pe_col_g[0].u_add                 fp32_add_pip_72                                           1645     5934.393    1658.757      7593.149 
        pe_row_g[7].pe_col_g[3].u_add                 fp32_add_pip_123                                          1648     5909.717    1673.341      7583.059 
        pe_row_g[3].pe_col_g[7].u_add                 fp32_add_pip_95                                           1652     5932.187    1648.064      7580.250 
        pe_row_g[6].pe_col_g[6].u_add                 fp32_add_pip_118                                          1666     5899.261    1677.432      7576.693 
        pe_row_g[2].pe_col_g[5].u_add                 fp32_add_pip_85                                           1670     5893.412    1680.625      7574.038 
        pe_row_g[2].pe_col_g[0].u_add                 fp32_add_pip_80                                           1686     5891.514    1682.139      7573.653 
        pe_row_g[4].pe_col_g[0].u_add                 fp32_add_pip_96                                           1669     5891.737    1664.544      7556.281 
        pe_row_g[6].pe_col_g[7].u_add                 fp32_add_pip_119                                          1652     5885.572    1667.055      7552.627 
        pe_row_g[2].pe_col_g[1].u_add                 fp32_add_pip_81                                           1643     5869.455    1646.700      7516.155 
        pe_row_g[3].pe_col_g[1].u_add                 fp32_add_pip_89                                           1657     5839.376    1670.947      7510.323 
        pe_row_g[0].pe_col_g[4].u_add                 fp32_add_pip_68                                           1596     5894.456    1609.083      7503.538 
        pe_row_g[3].pe_col_g[3].u_add                 fp32_add_pip_91                                           1627     5862.761    1638.817      7501.578 
        pe_row_g[7].pe_col_g[1].u_add                 fp32_add_pip_121                                          1647     5840.308    1642.027      7482.335 
        pe_row_g[3].pe_col_g[6].u_add                 fp32_add_pip_94                                           1649     5813.564    1651.523      7465.087 
        pe_row_g[6].pe_col_g[2].u_add                 fp32_add_pip_114                                          1609     5846.020    1618.296      7464.315 
        pe_row_g[4].pe_col_g[3].u_add                 fp32_add_pip_99                                           1638     5805.655    1639.000      7444.655 
        pe_row_g[7].pe_col_g[0].u_add                 fp32_add_pip_120                                          1610     5829.604    1614.221      7443.825 
        pe_row_g[2].pe_col_g[7].u_add                 fp32_add_pip_87                                           1631     5784.776    1652.138      7436.914 
        pe_row_g[6].pe_col_g[0].u_add                 fp32_add_pip_112                                          1622     5805.903    1627.708      7433.611 
        pe_row_g[1].pe_col_g[2].u_add                 fp32_add_pip_74                                           1592     5822.114    1606.704      7428.818 
        pe_row_g[7].pe_col_g[6].u_add                 fp32_add_pip_126                                          1617     5796.772    1629.820      7426.592 
        pe_row_g[7].pe_col_g[5].u_add                 fp32_add_pip_125                                          1648     5783.887    1642.659      7426.546 
        pe_row_g[0].pe_col_g[6].u_add                 fp32_add_pip_70                                           1612     5783.682    1627.825      7411.506 
        pe_row_g[6].pe_col_g[5].u_add                 fp32_add_pip_117                                          1620     5746.635    1629.870      7376.505 
        pe_row_g[6].pe_col_g[3].u_add                 fp32_add_pip_115                                          1636     5712.238    1655.148      7367.386 
        pe_row_g[5].pe_col_g[7].u_add                 fp32_add_pip_111                                          1581     5694.907    1607.436      7302.343 
        pe_row_g[6].pe_col_g[4].u_add                 fp32_add_pip_116                                          1575     5704.551    1593.134      7297.686 
        pe_row_g[3].pe_col_g[2].u_add                 fp32_add_pip_90                                           1532     5636.109    1556.032      7192.141 
    u_taylor                                          chiplet_9_softmax_NUM_HEADS8_TILE8_SEQ_LEN8             262842  1049219.415  256345.361   1305564.776 
      pipe_gen[0].u_pipe_u_rx                         ucie_rx_TILE_DIM8_17                                      6874    22009.590    5365.183     27374.772 
      pipe_gen[3].u_pipe_u_rx                         ucie_rx_TILE_DIM8_20                                      6024    22636.416    4375.340     27011.756 
      pipe_gen[7].u_pipe_u_rx                         ucie_rx_TILE_DIM8_24                                      6519    20491.648    4996.310     25487.958 
      pipe_gen[2].u_pipe_u_rx                         ucie_rx_TILE_DIM8_19                                      6332    20037.002    5368.526     25405.527 
      pipe_gen[6].u_pipe_u_rx                         ucie_rx_TILE_DIM8_23                                      5957    19475.951    4553.150     24029.101 
      pipe_gen[4].u_pipe_u_rx                         ucie_rx_TILE_DIM8_21                                      4854    19135.003    3505.285     22640.287 
      pipe_gen[1].u_pipe_u_rx                         ucie_rx_TILE_DIM8_18                                      4458    19175.564    3190.609     22366.173 
      pipe_gen[5].u_pipe_u_rx                         ucie_rx_TILE_DIM8_22                                      4629    18506.244    3347.348     21853.592 
      pipe_gen[4].u_pipe_exp_gen[4].u_exp             bf16_exp_36                                               1302     3117.501    1221.467      4338.968 
      pipe_gen[4].u_pipe_exp_gen[6].u_exp             bf16_exp_38                                               1271     3073.144    1193.462      4266.606 
      pipe_gen[4].u_pipe_exp_gen[3].u_exp             bf16_exp_35                                               1252     3035.874    1182.719      4218.593 
      pipe_gen[5].u_pipe_exp_gen[5].u_exp             bf16_exp_45                                               1242     3036.729    1178.129      4214.858 
      pipe_gen[4].u_pipe_exp_gen[0].u_exp             bf16_exp_32                                               1243     3042.466    1171.826      4214.292 
      pipe_gen[4].u_pipe_exp_gen[5].u_exp             bf16_exp_37                                               1234     3041.910    1170.413      4212.323 
      pipe_gen[5].u_pipe_exp_gen[7].u_exp             bf16_exp_47                                               1245     2998.588    1183.551      4182.138 
